Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-05,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2018-11-06,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2018-11-07,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2018-11-09,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2018-11-12,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,800.0,0.0,0.0
2018-11-13,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,500.0,0.0,0.0
2018-11-14,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0.0,0.0,0.0
2018-11-15,2.25,2.25,2.25,2.25,142.0,0.0,0.0
2018-11-16,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,500.0,0.0,0.0
2018-11-19,2.5,2.5,2.5,2.5,400.0,0.0,0.0
2018-11-20,2.5,2.5,2.5,2.5,300.0,0.0,0.0
2018-11-21,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-11-22,2.5,2.5,2.5,2.5,400.0,0.0,0.0
2018-11-26,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-11-27,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-11-28,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-11-29,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-11-30,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,300.0,0.0,0.0
2018-12-03,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,100.0,0.0,0.0
2018-12-04,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2018-12-05,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2018-12-06,2.5,2.5,2.5,2.5,150.0,0.0,0.0
2018-12-07,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-12-10,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-12-11,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-12-12,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-12-13,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,150.0,0.0,0.0
2018-12-14,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2018-12-17,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,50.0,0.0,0.0
2018-12-18,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2018-12-19,2.5,2.5,2.5,2.5,9.0,0.0,0.0
2018-12-20,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-12-21,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2018-12-24,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,7.0,0.0,0.0
2018-12-26,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2018-12-27,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2018-12-28,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,475.0,0.0,0.0
2018-12-31,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,40.0,0.0,0.0
2019-01-01,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0,0.0,0.0
2019-01-02,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0,0.0,0.0
2019-01-03,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0,0.0,0.0
2019-01-04,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0,0.0,0.0
2019-01-07,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0,0.0,0.0
2019-01-08,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0,0.0,0.0
2019-01-09,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,100.0,0.0,0.0
2019-01-10,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-01-11,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-01-14,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-01-15,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-01-16,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-01-17,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-01-18,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,175.0,0.0,0.0
2019-01-21,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,0.0,0.0,0.0
2019-01-22,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,0.0,0.0,0.0
2019-01-23,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,0.0,0.0,0.0
2019-01-24,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,25.0,0.0,0.0
2019-01-25,2.25,2.25,2.25,2.25,90.0,0.0,0.0
2019-01-28,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-01-29,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-01-30,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-01-31,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-02-01,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,150.0,0.0,0.0
2019-02-04,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0.0,0.0,0.0
2019-02-05,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,7.0,0.0,0.0
2019-02-06,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-07,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-11,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-12,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-14,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-15,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-18,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-19,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-20,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-21,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-22,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-25,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-26,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-27,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-02-28,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-03-01,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-03-05,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-03-06,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-03-07,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-03-08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,0.0,0.0,0.0
2019-03-11,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,34.0,0.0,0.0
2019-03-12,2.049999952316284,2.049999952316284,2.049999952316284,2.049999952316284,500.0,0.0,0.0
2019-03-13,2.049999952316284,2.049999952316284,2.049999952316284,2.049999952316284,0.0,0.0,0.0
2019-03-14,2.049999952316284,2.049999952316284,2.049999952316284,2.049999952316284,0.0,0.0,0.0
2019-03-15,2.049999952316284,2.049999952316284,2.049999952316284,2.049999952316284,0.0,0.0,0.0
2019-03-18,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,628.0,0.0,0.0
2019-03-19,2.25,2.25,2.25,2.25,62.0,0.0,0.0
2019-03-20,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-03-22,2.25,2.25,2.25,2.25,500.0,0.0,0.0
2019-03-25,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,100.0,0.0,0.0
2019-03-26,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,0.0,0.0,0.0
2019-03-27,2.450000047683716,2.450000047683716,2.4000000953674316,2.450000047683716,1944.0,0.0,0.0
2019-03-28,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-04-01,2.25,2.25,2.25,2.25,950.0,0.0,0.0
2019-04-02,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-03,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-04,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-05,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-08,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-09,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-10,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-11,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-12,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-15,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-16,2.25,2.25,2.25,2.25,1200.0,0.0,0.0
2019-04-18,2.25,2.25,2.25,2.25,455.0,0.0,0.0
2019-04-22,2.25,2.25,2.25,2.25,10.0,0.0,0.0
2019-04-23,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-24,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-04-25,2.25,2.25,2.25,2.25,2582.0,0.0,0.0
2019-04-26,2.25,2.25,2.25,2.25,10.0,0.0,0.0
2019-04-30,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-02,2.25,2.25,2.25,2.25,302.0,0.0,0.0
2019-05-03,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-06,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-07,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-08,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-09,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-10,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-13,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-14,2.25,2.25,2.25,2.25,0.0,0.0,0.0
2019-05-15,2.200000047683716,2.200000047683716,2.1500000953674316,2.200000047683716,2364.0,0.0,0.0
2019-05-16,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0.0,0.0,0.0
2019-05-17,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0.0,0.0,0.0
2019-05-20,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0.0,0.0,0.0
2019-05-21,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0.0,0.0,0.0
2019-05-22,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,200.0,0.0,0.0
2019-05-23,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,120.0,0.0,0.0
2019-05-24,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,232.0,0.0,0.0
2019-05-27,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
